time_au,pyspawn_s0,pyspawn_s1,spawnwithberry_s0,spawnwithberry_s1,pyspawn_norm,spawnwithberry_norm,pyspawn_tbfs,spawnwithberry_tbfs
0.0,0.0,1.0,0.0,1.0000000000000007,1.0,1.0000000000000007,1,1
0.1,0.0,1.0,0.0,1.0000000000000009,0.9999999999999999,1.0000000000000009,1,1
0.2,0.0,1.0,0.0,1.0000000000000009,1.0,1.0000000000000009,1,1
0.30000000000000004,0.0,1.0,0.0,1.0000000000000013,1.0,1.0000000000000013,1,1
0.4,0.0,0.9999999999999998,0.0,1.0000000000000022,0.9999999999999998,1.0000000000000022,1,1
0.5,0.0,0.9999999999999997,0.0,1.0000000000000022,0.9999999999999997,1.0000000000000022,1,1
0.6,0.0,0.9999999999999997,0.0,1.0000000000000022,0.9999999999999997,1.0000000000000022,1,1
0.7,0.0,0.9999999999999999,0.0,1.0000000000000022,0.9999999999999999,1.0000000000000022,1,1
0.7999999999999999,0.0,0.9999999999999999,0.0,1.0000000000000027,0.9999999999999999,1.0000000000000027,1,1
0.8999999999999999,0.0,0.9999999999999998,0.0,1.000000000000003,0.9999999999999998,1.000000000000003,1,1
0.9999999999999999,0.0,0.9999999999999998,0.0,1.000000000000003,0.9999999999999998,1.000000000000003,1,1
1.0999999999999999,0.0,0.9999999999999996,0.0,1.000000000000003,0.9999999999999996,1.000000000000003,1,1
1.2,0.0,0.9999999999999997,0.0,1.0000000000000036,0.9999999999999997,1.0000000000000036,1,1
1.3,0.0,0.9999999999999999,0.0,1.0000000000000036,0.9999999999999999,1.0000000000000036,1,1
1.4000000000000001,0.0,1.0,0.0,1.0000000000000033,1.0,1.0000000000000033,1,1
1.5000000000000002,0.0,1.0000000000000002,0.0,1.000000000000004,1.0000000000000002,1.000000000000004,1,1
1.6000000000000003,0.0,1.0000000000000004,0.0,1.000000000000004,1.0000000000000004,1.000000000000004,1,1
1.7000000000000004,0.0,1.0000000000000004,0.0,1.0000000000000038,1.0000000000000004,1.0000000000000038,1,1
1.8000000000000005,0.0,1.0000000000000004,0.0,1.000000000000003,1.0000000000000004,1.000000000000003,1,1
1.9000000000000006,0.0,1.0000000000000002,0.0,1.0000000000000033,1.0000000000000002,1.0000000000000033,1,1
2.0000000000000004,0.0,1.0000000000000002,0.0,1.000000000000003,1.0000000000000002,1.000000000000003,1,1
2.1000000000000005,0.0,1.0000000000000002,0.0,1.0000000000000027,1.0000000000000002,1.0000000000000027,1,1
2.2000000000000006,0.0,0.9999999999999999,0.0,1.0000000000000029,0.9999999999999998,1.0000000000000029,1,1
2.3000000000000007,0.0,0.9999999999999998,0.0,1.000000000000003,0.9999999999999999,1.000000000000003,1,1
2.400000000000001,0.0,0.9999999999999998,0.0,1.0000000000000033,0.9999999999999998,1.0000000000000033,1,1
2.500000000000001,0.0,0.9999999999999999,0.0,1.000000000000003,0.9999999999999999,1.000000000000003,1,1
2.600000000000001,0.0,0.9999999999999999,0.0,1.000000000000004,0.9999999999999999,1.000000000000004,1,1
2.700000000000001,0.0,1.0,0.0,1.0000000000000038,1.0,1.0000000000000038,1,1
2.800000000000001,0.0,0.9999999999999999,0.0,1.000000000000004,1.0,1.000000000000004,1,1
2.9000000000000012,0.0,0.9999999999999999,0.0,1.000000000000003,0.9999999999999998,1.000000000000003,1,1
3.0000000000000013,0.0,0.9999999999999998,0.0,1.0000000000000033,0.9999999999999998,1.0000000000000033,1,1
3.1000000000000014,0.0,0.9999999999999996,0.0,1.000000000000003,0.9999999999999997,1.000000000000003,1,1
3.2000000000000015,0.0,0.9999999999999996,0.0,1.0000000000000033,0.9999999999999996,1.0000000000000033,1,1
3.3000000000000016,0.0,0.9999999999999994,0.0,1.0000000000000027,0.9999999999999996,1.0000000000000027,1,1
3.4000000000000017,0.0,0.9999999999999998,0.0,1.0000000000000029,0.9999999999999998,1.0000000000000029,1,1
3.5000000000000018,0.0,1.0,0.0,1.0000000000000027,1.0,1.0000000000000027,1,1
3.600000000000002,0.0,1.0000000000000002,0.0,1.0000000000000029,1.0000000000000002,1.0000000000000029,1,1
3.700000000000002,0.0,1.0000000000000002,0.0,1.000000000000003,1.0,1.000000000000003,1,1
3.800000000000002,0.0,1.0000000000000002,0.0,1.0000000000000036,1.0,1.0000000000000036,1,1
3.900000000000002,0.0,1.0,0.0,1.0000000000000044,1.0000000000000002,1.0000000000000044,1,1
4.000000000000002,0.0,1.0000000000000002,0.0,1.0000000000000042,1.0000000000000002,1.0000000000000042,1,1
4.100000000000001,0.0,1.0000000000000002,0.0,1.0000000000000042,1.0000000000000002,1.0000000000000042,1,1
4.200000000000001,0.0,1.0000000000000004,0.0,1.0000000000000042,1.0000000000000004,1.0000000000000042,1,1
4.300000000000001,0.0,1.0000000000000004,0.0,1.000000000000004,1.0000000000000004,1.000000000000004,1,1
4.4,0.0,1.0000000000000004,0.0,1.000000000000004,1.0000000000000004,1.000000000000004,1,1
4.5,0.0,1.0000000000000007,0.0,1.0000000000000042,1.0000000000000007,1.0000000000000042,1,1
4.6,0.0,1.0000000000000007,0.0,1.000000000000004,1.0000000000000007,1.000000000000004,1,1
4.699999999999999,0.0,1.0000000000000007,0.0,1.0000000000000036,1.0000000000000007,1.0000000000000036,1,1
4.799999999999999,0.0,1.0000000000000009,0.0,1.0000000000000038,1.0000000000000009,1.0000000000000038,1,1
4.899999999999999,0.0,1.0000000000000007,0.0,1.0000000000000038,1.0000000000000007,1.0000000000000038,1,1
4.999999999999998,0.0,1.0000000000000009,0.0,1.0000000000000042,1.0000000000000009,1.0000000000000042,1,1
5.099999999999998,0.0,1.0000000000000009,0.0,1.0000000000000044,1.0000000000000009,1.0000000000000044,1,1
5.1999999999999975,0.0,1.0000000000000009,0.0,1.0000000000000044,1.0000000000000009,1.0000000000000044,1,1
5.299999999999997,0.0,1.0000000000000007,0.0,1.000000000000005,1.0000000000000007,1.000000000000005,1,1
5.399999999999997,0.0,1.0000000000000007,0.0,1.0000000000000049,1.0000000000000007,1.0000000000000049,1,1
5.4999999999999964,0.0,1.0000000000000004,0.0,1.0000000000000049,1.0000000000000004,1.0000000000000049,1,1
5.599999999999996,0.0,1.0000000000000007,0.0,1.0000000000000044,1.0000000000000007,1.0000000000000044,1,1
5.699999999999996,0.0,1.0000000000000007,0.0,1.0000000000000042,1.0000000000000007,1.0000000000000042,1,1
5.799999999999995,0.0,1.0000000000000007,0.0,1.0000000000000044,1.0000000000000007,1.0000000000000044,1,1
5.899999999999995,0.0,1.0000000000000007,0.0,1.0000000000000042,1.0000000000000007,1.0000000000000042,1,1
5.999999999999995,0.0,1.0000000000000004,0.0,1.0000000000000042,1.0000000000000004,1.0000000000000042,1,1
6.099999999999994,0.0,1.0000000000000004,0.0,1.0000000000000038,1.0000000000000004,1.0000000000000038,1,1
6.199999999999994,0.0,1.0000000000000004,0.0,1.0000000000000044,1.0000000000000004,1.0000000000000044,1,1
6.299999999999994,0.0,1.0000000000000004,0.0,1.000000000000004,1.0000000000000004,1.000000000000004,1,1
6.399999999999993,0.0,1.0000000000000004,0.0,1.0000000000000038,1.0000000000000004,1.0000000000000038,1,1
6.499999999999993,0.0,1.0000000000000002,0.0,1.0000000000000038,1.0000000000000002,1.0000000000000038,1,1
6.5999999999999925,0.0,1.0000000000000004,0.0,1.0000000000000044,1.0000000000000004,1.0000000000000044,1,1
6.699999999999992,0.0,1.0000000000000004,0.0,1.0000000000000038,1.0000000000000004,1.0000000000000038,1,1
6.799999999999992,0.0,1.0000000000000004,0.0,1.0000000000000044,1.0000000000000004,1.0000000000000044,1,1
